# Name: Westermost Rough
# Source: http://www.kis-orca.eu/media/76975/WestermostRough_LRes.pdf
# name, latitude, longitude
  A01,    53.770117,     0.139783
  A02,    53.777000,     0.131217
  A03,    53.784017,     0.122983
  A04,    53.791283,     0.114300
  A05,    53.798517,     0.106150
  A06,    53.805000,     0.097733
  A07,    53.811833,     0.089367
  B01,    53.776067,     0.153867
  B02,    53.782817,     0.144850
  B03,    53.789917,     0.137183
  B04,    53.797250,     0.128350
  B05,    53.804250,     0.119950
  B06,    53.810900,     0.112033
  B07,    53.817767,     0.103683
  C01,    53.782067,     0.167767
  C02,    53.789033,     0.159500
  C03,    53.795950,     0.151167
  C06,    53.816817,     0.125967
  C07,    53.823767,     0.117567
  D01,    53.787983,     0.182117
  D07,    53.829733,     0.131667
  E01,    53.794000,     0.196383
  E02,    53.800917,     0.187767
  E03,    53.807717,     0.179383
  E04,    53.815067,     0.170467
  E05,    53.822150,     0.162150
  E06,    53.828750,     0.154183
  E07,    53.835733,     0.145733
  F01,    53.799917,     0.210267
  F02,    53.806883,     0.201883
  F03,    53.813950,     0.193350
  F04,    53.821017,     0.184567
  F05,    53.828117,     0.176267
  F06,    53.834717,     0.168300
  F07,    53.841533,     0.160133
