A01, 53°46.207'N, 000°08.387'E
A02, 53°46.620'N, 000°07.873'E
A03, 53°47.041'N, 000°07.379'E
A04, 53°47.477'N, 000°06.858'E
A05, 53°47.911'N, 000°06.369'E
A06, 53°48.300'N, 000°05.864'E
A07, 53°48.710'N, 000°05.362'E
B01, 53°46.564'N, 000°09.232'E
B02, 53°46.969'N, 000°08.691'E
B03, 53°47.395'N, 000°08.231'E
B04, 53°47.835'N, 000°07.701'E
B05, 53°48.255'N, 000°07.197'E
B06, 53°48.654'N, 000°06.722'E
B07, 53°49.066'N, 000°06.221'E
C01, 53°46.924'N, 000°10.066'E
C02, 53°47.342'N, 000°09.570'E
C03, 53°47.757'N, 000°09.070'E
C06, 53°49.009'N, 000°07.558'E
C07, 53°49.426'N, 000°07.054'E
D01, 53°47.279'N, 000°10.927'E
D07, 53°49.784'N, 000°07.900'E
E01, 53°47.640'N, 000°11.783'E
E02, 53°48.055'N, 000°11.266'E
E03, 53°48.463'N, 000°10.763'E
E04, 53°48.904'N, 000°10.228'E
E05, 53°49.329'N, 000°09.729'E
E06, 53°49.725'N, 000°09.251'E
E07, 53°50.144'N, 000°08.744'E
F01, 53°47.995'N, 000°12.616'E
F02, 53°48.413'N, 000°12.113'E
F03, 53°48.837'N, 000°11.601'E
F04, 53°49.261'N, 000°11.074'E
F05, 53°49.687'N, 000°10.576'E
F06, 53°50.083'N, 000°10.098'E
F07, 53°50.492'N, 000°09.608'E
